TIME=  603264ms 

p=3 d=3 s=3
d2--_1_127 0.08386851383955268
d1_3_53 0.012297053671151172
d1--_3_49 0.05668733896396414
zeroNotCycle_3_65 0.0
d2--_3_48 0.034683268491436055
d1--_3_47 0.034683268491436055
d2_3_68 8.113831511861175E-4
d2--_1_129 0.10717439354432721
d1--_2_145 0.11408900569752917
d1--_2_143 0.08945073997968292
d2_1_125 0.054239513847308275
d2--_3_50 0.05668733896396414
d1_1_156 0.054239513847308275
d1--_3_55 0.034683268491436055
d2--_3_56 0.034683268491436055
zeroNotCycle_2_99 0.0
d1_2_117 0.050350427631246315
loop_1_2 0.4427719550728621
d1_3_67 8.113831511861175E-4
zeroNotCycle_3_5 0.0
d2_3_76 8.113831511861175E-4
d2_3_8 0.0298052329711607
zeroNotCycle_3_51 0.0
zeroNotCycle_2_147 0.0
d2--_3_58 0.05668733896396414
loop_1_32 0.20820004850769808
d1--_3_39 0.034683268491436055
d1--_2_153 0.11408900569752917
d1--_3_41 0.05668733896396414
init_1_90 0.031192721705981065
d1--_2_151 0.08945073997968292
d2_2_150 0.050350427631246315
S0 1.0
d2_2_142 0.050350427631246315
d2--_3_28 0.11356497885291077
d1--_3_27 0.11356497885291077
zeroNotCycle_3_43 0.0
d2--_3_26 0.07718747083421375
d1--_3_25 0.07718747083421375
d2_3_84 8.113831511861175E-4
d1--_2_121 0.11408900569752917
zeroNotCycle_2_139 0.0
d2--_1_95 0.053250558421308575
d2--_2_112 0.08945073997968292
d1--_1_94 0.053250558421308575
d2--_2_114 0.11408900569752917
normalComposite_1_130 0.5094351575376237
d1--_1_96 0.07051308874191173
compInCycle_2_34 0.20820004850769808
d2--_1_97 0.07051308874191173
d1--_1_160 0.10717439354432721
d1_2_133 0.050350427631246315
d1_3_45 0.012297053671151172
d1_2_141 0.050350427631246315
d2_2_134 0.050350427631246315
d2--_1_159 0.08386851383955268
d1--_2_137 0.11408900569752917
normalComposite_1_98 0.5094351575376237
d1--_2_135 0.08945073997968292
d1--_3_19 0.11356497885291077
d1--_3_17 0.07718747083421375
d2--_3_42 0.05668733896396414
d2--_3_40 0.034683268491436055
d2--_2_104 0.08945073997968292
zeroNotCycle_3_35 0.0
zeroNotCycle_2_131 0.0
d1_2_149 0.050350427631246315
d1_3_37 0.012297053671151172
d2--_2_106 0.11408900569752917
init_1_30 0.4427719550728621
loop_1_62 0.031192721705981065
d1--_2_105 0.11408900569752917
zeroNotCycle_3_21 0.0
d1CycleReg_1_92 0.033758525633212313
d1--_2_103 0.08945073997968292
d2_3_24 0.0298052329711607
zeroNotCycle_2_115 0.0
d2--_2_136 0.08945073997968292
d1--_3_11 0.11356497885291077
d2--_3_12 0.11356497885291077
d2_3_16 0.0298052329711607
d2--_3_10 0.07718747083421375
d2--_1_161 0.10717439354432721
zeroCycle_1_0 0.0
d2--_2_138 0.11408900569752917
d1_3_23 0.0298052329711607
d2_2_110 0.050350427631246315
d1--_2_119 0.08945073997968292
d1--_1_158 0.08386851383955268
d1--_3_79 0.011078734527307255
d1--_2_113 0.11408900569752917
d2_2_118 0.050350427631246315
d1--_2_111 0.08945073997968292
zeroNotCycle_2_107 0.0
d2--_3_18 0.07718747083421375
d2--_3_20 0.11356497885291077
d1--_3_85 0.0035708716517539106
d1_1_124 0.054239513847308275
d2_1_157 0.054239513847308275
zeroNotCycle_3_13 0.0
d2--_2_120 0.08945073997968292
d1--_3_87 0.011078734527307255
d2--_2_122 0.11408900569752917
d1_3_7 0.0298052329711607
d1_3_15 0.0298052329711607
d1_3_75 8.113831511861175E-4
d2_2_102 0.050350427631246315
d1--_1_126 0.08386851383955268
d1--_1_128 0.10717439354432721
d2_3_46 0.012297053671151172
d1--_3_69 0.0035708716517539106
d2CycleReg_1_93 0.033758525633212313
zeroNotCycle_3_81 0.0
init_1_60 0.20820004850769808
d1--_3_71 0.011078734527307255
d2--_3_72 0.011078734527307255
d1--_3_77 0.0035708716517539106
d2--_2_152 0.08945073997968292
d2--_3_78 0.0035708716517539106
d2_3_38 0.012297053671151172
d2--_2_154 0.11408900569752917
d2--_3_70 0.0035708716517539106
d1_3_83 8.113831511861175E-4
d2_3_54 0.012297053671151172
compInCycle_2_4 0.4427719550728621
d1--_3_57 0.05668733896396414
zeroNotCycle_3_73 0.0
d1--_3_9 0.07718747083421375
d2--_3_86 0.0035708716517539106
d2--_2_146 0.11408900569752917
d1_2_109 0.050350427631246315
compInCycle_2_64 0.031192721705981065
d2--_3_88 0.011078734527307255
d2--_2_144 0.08945073997968292
d1_2_101 0.050350427631246315
d2--_3_80 0.011078734527307255
